true_label,predicted_label,inference_time,correct
no fire,no fire,3.2999215126037598,True
no fire,no fire,0.811650276184082,True
no fire,no fire,0.9269640445709229,True
no fire,no fire,0.6079225540161133,True
no fire,no fire,0.8676090240478516,True
no fire,no fire,0.7377879619598389,True
no fire,no fire,0.795989990234375,True
no fire,no fire,0.9289703369140625,True
no fire,no fire,0.6081829071044922,True
no fire,no fire,0.8896470069885254,True
no fire,no fire,0.8904826641082764,True
no fire,no fire,0.701958417892456,True
no fire,no fire,0.8881738185882568,True
no fire,no fire,0.7587764263153076,True
no fire,no fire,0.6605782508850098,True
no fire,no fire,0.8624095916748047,True
no fire,no fire,0.6124403476715088,True
no fire,no fire,0.9006185531616211,True
no fire,no fire,0.49547839164733887,True
no fire,no fire,0.9104793071746826,True
no fire,no fire,0.7574751377105713,True
no fire,no fire,0.8932464122772217,True
no fire,no fire,0.7683241367340088,True
no fire,no fire,0.7228047847747803,True
no fire,no fire,0.7300114631652832,True
no fire,no fire,0.6109848022460938,True
no fire,no fire,0.7551064491271973,True
no fire,no fire,0.7230777740478516,True
no fire,no fire,0.7422471046447754,True
no fire,no fire,0.8055226802825928,True
no fire,no fire,0.5835311412811279,True
no fire,no fire,0.7769155502319336,True
no fire,no fire,0.8543751239776611,True
no fire,no fire,0.7827568054199219,True
no fire,no fire,0.5744545459747314,True
no fire,no fire,0.862454891204834,True
controlled fire,no fire,0.73567795753479,False
no fire,no fire,0.7128546237945557,True
no fire,no fire,0.9017586708068848,True
no fire,no fire,0.7065296173095703,True
no fire,no fire,0.913416862487793,True
no fire,no fire,0.6479806900024414,True
no fire,no fire,0.7739052772521973,True
no fire,no fire,0.6015646457672119,True
no fire,no fire,0.8957765102386475,True
no fire,no fire,0.6222944259643555,True
no fire,no fire,0.859905481338501,True
no fire,no fire,0.6569743156433105,True
no fire,no fire,0.7681527137756348,True
no fire,no fire,0.8093605041503906,True
no fire,no fire,0.9021737575531006,True
no fire,no fire,0.5496830940246582,True
no fire,no fire,0.5025393962860107,True
no fire,no fire,0.5168130397796631,True
no fire,no fire,0.5491740703582764,True
no fire,no fire,0.7949495315551758,True
no fire,no fire,0.7401688098907471,True
no fire,no fire,0.7407135963439941,True
no fire,no fire,0.6987102031707764,True
no fire,no fire,0.6694393157958984,True
no fire,no fire,0.7547290325164795,True
no fire,no fire,0.6300346851348877,True
no fire,no fire,0.7889218330383301,True
no fire,no fire,0.6253235340118408,True
no fire,no fire,0.750255823135376,True
no fire,no fire,0.7588286399841309,True
no fire,no fire,0.9035556316375732,True
no fire,no fire,0.68930983543396,True
no fire,no fire,0.8526937961578369,True
no fire,no fire,0.7576608657836914,True
no fire,no fire,0.7461650371551514,True
no fire,no fire,0.7014470100402832,True
no fire,no fire,0.502211332321167,True
no fire,no fire,0.7144153118133545,True
no fire,no fire,0.6160252094268799,True
no fire,no fire,0.948986291885376,True
no fire,no fire,0.7223260402679443,True
no fire,no fire,0.8547670841217041,True
no fire,no fire,0.9097018241882324,True
no fire,no fire,0.6726067066192627,True
no fire,no fire,0.631201982498169,True
no fire,no fire,0.499345064163208,True
no fire,no fire,0.812725305557251,True
no fire,no fire,0.8678977489471436,True
no fire,no fire,0.8487062454223633,True
no fire,no fire,0.4944894313812256,True
no fire,no fire,0.8911848068237305,True
no fire,no fire,0.8938770294189453,True
no fire,no fire,0.8767457008361816,True
no fire,no fire,0.5757496356964111,True
no fire,no fire,0.8190193176269531,True
no fire,no fire,0.7264571189880371,True
controlled fire,no fire,1.4698238372802734,False
no fire,no fire,0.7442746162414551,True
no fire,no fire,0.9768173694610596,True
no fire,no fire,0.962165117263794,True
no fire,no fire,0.5844018459320068,True
no fire,no fire,0.9360833168029785,True
no fire,no fire,0.5827925205230713,True
no fire,no fire,0.5425961017608643,True
no fire,no fire,0.8282825946807861,True
no fire,no fire,0.5709569454193115,True
no fire,no fire,0.7471144199371338,True
no fire,no fire,0.9551520347595215,True
