image_path,true_label,predicted_label,caption,inference_time,correct
FIRENET/train/image1.jpg,dangerous fire,dangerous fire,"The image shows a car engulfed in flames on a road, with thick black smoke rising from the fire. Other vehicles are parked nearby, and the scene appears to be in an urban setting.",1.9021031856536865,True
FIRENET/train/image2.jpg,dangerous fire,dangerous fire,"The image shows a scene of a fire on the side of a road. A vehicle is on fire, emitting flames and smoke. There are people in yellow uniforms, likely firefighters, attending to the fire. The surrounding area appears to be a rural or semi-rural setting with dry grass and power lines in the background.",2.980902671813965,True
FIRENET/train/image3.jpg,controlled fire,controlled fire,A person holding a lit cigarette with smoke rising from it.,1.1204593181610107,False
FIRENET/train/image4.jpg,controlled fire,controlled fire,The image shows a single cupcake with pink frosting and a lit candle on a white surface against a dark background.,1.4494531154632568,False
FIRENET/train/image5.jpg,dangerous fire,dangerous fire,"A car is engulfed in flames on a street, with firefighters nearby. The car's wheels are visible, and there is thick smoke rising from the fire.",1.9616246223449707,True
FIRENET/train/image6.jpg,controlled fire,controlled fire,A person holding a lit cigarette in a dimly lit room.,1.138831615447998,False
FIRENET/train/image7.jpg,controlled fire,controlled fire,"The image shows two lit candles, one yellow and one blue, placed on a surface with a red candle holder in the foreground. The candles are surrounded by a warm, cozy atmosphere.",1.8940539360046387,False
FIRENET/train/image8.jpg,dangerous fire,dangerous fire,A race car engulfed in flames with thick black smoke billowing from it. A person in an orange jumpsuit is actively working to control the fire near the car.,1.7220544815063477,True
FIRENET/train/image9.jpg,dangerous fire,dangerous fire,"The image shows a scene with a car on fire in the background, and two individuals standing nearby. The car's engine compartment is engulfed in flames, and there is a person lying on the ground in front of the car.",2.2111172676086426,True
FIRENET/train/image10.jpg,controlled fire,controlled fire,"Two individuals in school uniforms are standing close together, with one person holding a cigarette and the other holding a lighter. The background appears to be outdoors with greenery.",1.9779603481292725,False
FIRENET/train/image11.jpg,dangerous fire,dangerous fire,"A race car is engulfed in flames with visible smoke and fire. The scene includes several individuals in orange uniforms, likely race crew members, who are actively working to control the situation.",1.9344267845153809,True
FIRENET/train/image12.jpg,dangerous fire,dangerous fire,"A truck is engulfed in flames, with thick smoke billowing from the back. The truck's license plate is visible, and there is a car parked nearby.",1.8037621974945068,True
FIRENET/train/image13.jpg,controlled fire,controlled fire,"A firefighter is training with a controlled fire demonstration at a fire station. The fire is contained within a metal container, and the firefighter is using a hose to manage the flames.",1.7237234115600586,True
FIRENET/train/image14.jpg,dangerous fire,dangerous fire,"A vehicle is engulfed in flames, with thick smoke billowing from the front of the car. The fire appears to be spreading rapidly.",1.6484248638153076,True
FIRENET/train/image15.jpg,dangerous fire,dangerous fire,"A vehicle is engulfed in flames, with thick black smoke rising from the fire. The vehicle appears to be a camper van, and there are trees and a house in the background.",2.1269540786743164,True
FIRENET/train/image16.jpg,dangerous fire,dangerous fire,"A car is on fire with flames engulfing the rear section. A person stands nearby, seemingly observing the incident. Another individual is seen in the background, possibly recording the event. The scene appears to be outdoors, with a fence and some greenery in the background.",2.471024990081787,True
FIRENET/train/image17.jpg,dangerous fire,dangerous fire,"The image shows a bus engulfed in flames on the side of a road, with thick smoke rising from the fire. The bus appears to be on fire, and there are no visible signs of controlled fire or danger.",2.16939115524292,True
