true_label,predicted_label,inference_time,correct
no fire,no fire,2.9455671310424805,True
no fire,no fire,0.8704178333282471,True
no fire,no fire,0.7411069869995117,True
no fire,no fire,0.7957632541656494,True
no fire,no fire,0.8592002391815186,True
no fire,no fire,0.8373048305511475,True
no fire,no fire,0.8565995693206787,True
no fire,no fire,0.46133899688720703,True
no fire,no fire,0.7450196743011475,True
no fire,no fire,0.8466908931732178,True
no fire,no fire,0.6935961246490479,True
no fire,no fire,0.68145751953125,True
no fire,no fire,0.8289382457733154,True
no fire,no fire,0.9166665077209473,True
no fire,no fire,0.6721315383911133,True
no fire,no fire,0.8648760318756104,True
no fire,no fire,0.7737226486206055,True
no fire,no fire,0.8860139846801758,True
no fire,no fire,0.6187009811401367,True
no fire,no fire,0.6912984848022461,True
no fire,no fire,0.7086081504821777,True
no fire,no fire,0.8009707927703857,True
no fire,no fire,0.8137233257293701,True
no fire,no fire,1.1286895275115967,True
no fire,no fire,1.2144038677215576,True
no fire,no fire,0.8942139148712158,True
no fire,no fire,0.9720606803894043,True
no fire,no fire,0.8273375034332275,True
no fire,no fire,0.938469648361206,True
no fire,no fire,0.6000158786773682,True
no fire,no fire,0.5649807453155518,True
no fire,no fire,0.7616827487945557,True
no fire,no fire,0.7701864242553711,True
no fire,no fire,0.9350979328155518,True
no fire,no fire,0.8963642120361328,True
no fire,no fire,0.9379968643188477,True
controlled fire,no fire,0.47014951705932617,False
no fire,no fire,0.8481159210205078,True
no fire,no fire,0.5093142986297607,True
no fire,no fire,0.8352632522583008,True
no fire,no fire,0.8050510883331299,True
no fire,no fire,0.8174161911010742,True
no fire,no fire,0.8693606853485107,True
no fire,no fire,0.928278923034668,True
no fire,no fire,0.870506763458252,True
no fire,no fire,0.8302516937255859,True
no fire,no fire,0.8540339469909668,True
no fire,no fire,0.7343337535858154,True
no fire,no fire,0.6498923301696777,True
no fire,no fire,0.9027607440948486,True
no fire,no fire,0.8350677490234375,True
no fire,no fire,0.6897478103637695,True
no fire,no fire,0.503002405166626,True
no fire,no fire,0.8477797508239746,True
no fire,no fire,0.7247879505157471,True
no fire,no fire,0.8711469173431396,True
no fire,no fire,0.796562910079956,True
no fire,no fire,0.6386673450469971,True
no fire,no fire,0.5287017822265625,True
no fire,no fire,0.5960156917572021,True
no fire,no fire,0.6659975051879883,True
no fire,no fire,0.7091374397277832,True
no fire,no fire,1.039485216140747,True
no fire,no fire,1.0166232585906982,True
no fire,no fire,0.994481086730957,True
no fire,no fire,0.9000184535980225,True
no fire,no fire,0.8640639781951904,True
no fire,no fire,1.0602459907531738,True
no fire,no fire,1.0537304878234863,True
no fire,no fire,0.6863789558410645,True
no fire,no fire,0.8147575855255127,True
no fire,no fire,1.0495331287384033,True
no fire,no fire,0.6295428276062012,True
no fire,no fire,0.9023752212524414,True
no fire,no fire,1.0811777114868164,True
no fire,no fire,1.0074985027313232,True
no fire,no fire,1.0422415733337402,True
no fire,no fire,0.9120199680328369,True
no fire,no fire,0.9379863739013672,True
no fire,no fire,1.1304388046264648,True
no fire,no fire,0.7712771892547607,True
no fire,no fire,0.9304385185241699,True
no fire,no fire,0.7850968837738037,True
no fire,no fire,0.7661538124084473,True
no fire,no fire,0.7526788711547852,True
no fire,no fire,0.9237675666809082,True
no fire,no fire,0.8475964069366455,True
no fire,no fire,0.9196598529815674,True
no fire,no fire,0.8124086856842041,True
no fire,no fire,0.9030337333679199,True
no fire,no fire,0.8710148334503174,True
no fire,no fire,0.8493576049804688,True
controlled fire,no fire,1.0355920791625977,False
no fire,no fire,0.8739109039306641,True
no fire,no fire,0.9778296947479248,True
no fire,no fire,0.9258112907409668,True
no fire,no fire,0.7095856666564941,True
no fire,no fire,0.7080733776092529,True
no fire,no fire,0.7637495994567871,True
no fire,no fire,0.7209086418151855,True
no fire,no fire,0.6866054534912109,True
no fire,no fire,0.9387774467468262,True
no fire,no fire,0.5157921314239502,True
no fire,no fire,0.8495814800262451,True
no fire,no fire,0.9345498085021973,True
