image_path,true_label,predicted_label,inference_time,correct
CONFIRE/image1.jpg,no fire,no fire,3.2454679012298584,True
CONFIRE/image2.jpg,no fire,no fire,0.9948363304138184,True
CONFIRE/image3.jpg,no fire,no fire,0.9802360534667969,True
CONFIRE/image4.jpg,no fire,no fire,0.9807271957397461,True
CONFIRE/image5.jpg,no fire,no fire,0.9798166751861572,True
CONFIRE/image6.jpg,no fire,no fire,0.9858705997467041,True
CONFIRE/image7.jpg,no fire,no fire,0.9900941848754883,True
CONFIRE/image8.jpg,no fire,no fire,0.9863369464874268,True
CONFIRE/image9.jpg,no fire,no fire,0.9949111938476562,True
CONFIRE/image10.jpg,no fire,no fire,0.987532377243042,True
CONFIRE/image11.jpg,no fire,no fire,0.9898664951324463,True
CONFIRE/image12.jpg,no fire,no fire,0.9821209907531738,True
CONFIRE/image13.jpg,no fire,no fire,0.9884195327758789,True
CONFIRE/image14.jpg,no fire,no fire,0.9840366840362549,True
CONFIRE/image15.jpg,no fire,no fire,0.9847066402435303,True
CONFIRE/image16.jpg,no fire,no fire,0.9827170372009277,True
CONFIRE/image17.jpg,no fire,no fire,0.986436128616333,True
CONFIRE/image18.jpg,no fire,no fire,0.9871692657470703,True
CONFIRE/image19.jpg,no fire,no fire,0.9825649261474609,True
CONFIRE/image20.jpg,no fire,no fire,0.9859178066253662,True
CONFIRE/image21.jpg,no fire,no fire,0.984142541885376,True
CONFIRE/image22.jpg,no fire,no fire,0.982752799987793,True
CONFIRE/image23.jpg,no fire,no fire,0.9892556667327881,True
CONFIRE/image24.jpg,no fire,no fire,0.9844298362731934,True
CONFIRE/image25.jpg,no fire,no fire,0.9826042652130127,True
CONFIRE/image26.jpg,no fire,no fire,0.9844675064086914,True
CONFIRE/image27.jpg,no fire,no fire,0.9821865558624268,True
CONFIRE/image28.jpg,no fire,no fire,0.9815380573272705,True
CONFIRE/image29.jpg,no fire,no fire,0.9849729537963867,True
CONFIRE/image30.jpg,no fire,no fire,0.9897005558013916,True
CONFIRE/image31.jpg,no fire,no fire,0.9843945503234863,True
CONFIRE/image32.jpg,no fire,no fire,0.9815502166748047,True
CONFIRE/image33.jpg,no fire,no fire,0.98453688621521,True
CONFIRE/image34.jpg,no fire,no fire,0.9829385280609131,True
CONFIRE/image35.jpg,no fire,no fire,0.9814860820770264,True
CONFIRE/image36.jpg,no fire,no fire,0.9826576709747314,True
CONFIRE/image37.jpg,controlled fire,controlled fire,0.9841632843017578,True
CONFIRE/image38.jpg,no fire,no fire,0.9889240264892578,True
CONFIRE/image39.jpg,no fire,no fire,0.9870944023132324,True
CONFIRE/image40.jpg,no fire,no fire,0.9831511974334717,True
CONFIRE/image41.jpg,no fire,no fire,0.9824504852294922,True
CONFIRE/image42.jpg,no fire,no fire,0.9814963340759277,True
