image_path,original_caption,true_label,predicted_label,inference_time
dataset_v2/image1.jpg,"The image shows a cozy living room with a fireplace, a potted plant, a lamp, and a couch. The room has a warm and inviting atmosphere.",no fire,error,0.0
dataset_v2/image2.jpg,"The image shows a neatly arranged bedroom with a bed covered in a blue and black checkered blanket. There is a wooden desk with a lamp, a chair, and a small plant. The walls are adorned with framed pictures, and there are two lamps on either side of the bed. The room has a warm, cozy atmosphere.",no fire,error,0.0
dataset_v2/image3.jpg,"The image shows a wooden dining table with four chairs around it. On the table, there is a bowl containing pine cones. The setting appears to be indoors, possibly in a kitchen or dining area.",no fire,error,0.0
dataset_v2/image4.jpg,"The image depicts a modern office space with large windows, wooden tables, and chairs. The room has a minimalist design with concrete walls and a polished floor. There are no visible signs of fire or smoke.",no fire,error,0.0
dataset_v2/image5.jpg,"The image shows a hospital room with a patient bed, a bedside table with a bottle of water, a tray with food, and a chair. There is a curtain covering part of the window, and a flower arrangement on the bedside table.",no fire,error,0.0
dataset_v2/image6.jpg,"The image shows a cozy dining room with a round table set for a meal. The table is adorned with a woven basket containing pineapples, a pitcher, and a plate with bread and corn. The tablecloth features a patterned design, and there are two chairs with colorful pillows. The room has a warm ambiance with a lamp, a vase with flowers, and framed pictures on the wall. The setting suggests a comfortable and inviting atmosphere.",no fire,error,0.0
dataset_v2/image7.jpg,"The image shows a bedroom with a bed covered in blankets and pillows. There is a desk with a chair, a lamp, and a window with a curtain. The walls are painted yellow, and there is a painting hanging on the wall.",no fire,error,0.0
dataset_v2/image8.jpg,"The image shows an office setting with two computer monitors on a desk, a chair, and various items such as papers, a phone, and a printer. The walls are adorned with numerous patches or insignias.",no fire,error,0.0
dataset_v2/image9.jpg,"The image shows a cozy bedroom with a canopy bed covered in a white and pink floral blanket. The room has a pink wall, a radiator, and a window with a view of greenery outside. The bed is adorned with several pillows and a white lace throw.",no fire,error,0.0
dataset_v2/image10.jpg,"The image depicts a modern office space with large windows, a desk with a laptop, a chair, and a sofa with cushions. The room has a clean and organized appearance.",no fire,error,0.0
dataset_v2/image11.jpg,"The image depicts a cozy bedroom with a wooden dresser, a mirror, and a bed with red pillows. The room has blue walls, white trim, and large windows covered with white curtains. There is a lamp on the dresser and a small rug on the floor.",no fire,error,0.0
dataset_v2/image12.jpg,"The image shows a hospital room with a patient bed, medical equipment, and a curtain. The room has a calm atmosphere with no signs of fire or smoke.",no fire,error,0.0
dataset_v2/image13.jpg,"The image shows a bedroom with a wooden bed frame, a mattress, and a large window covered with vertical blinds. The room has light-colored walls and hardwood floors.",no fire,error,0.0
dataset_v2/image14.jpg,"The image shows a traditional Chinese dining room with wooden furniture, a long table, chairs, a vase, and a potted plant. The room has a high ceiling with intricate woodwork and a hanging lamp. The walls are adorned with framed pictures and shelves.",no fire,error,0.0
dataset_v2/image15.jpg,"The image shows a neatly made bed with white sheets and a patterned blanket. The room has a modern design with dark wood paneling, a framed picture above the bed, and a lamp on a bedside table. There is a door leading to another room where a coffee maker is visible.",no fire,error,0.0
dataset_v2/image16.jpg,"The image shows an office setting with a dark wooden desk, a computer monitor, a printer, and various office supplies. There is a person sitting at the desk wearing a black shirt.",no fire,error,0.0
dataset_v2/image17.jpg,"The image shows a cozy, rustic room with wooden walls and a window. There is a rocking horse, a trunk, and various other items such as a quilted blanket, a suitcase, and a basket. The room has a warm, inviting atmosphere.",no fire,error,0.0
dataset_v2/image18.jpg,"The image shows a hotel room with a bed covered in a green and blue patterned blanket. There are two chairs, a small table with a lamp, and a framed picture on the wall. The room has carpeted flooring and a neutral color scheme.",no fire,error,0.0
dataset_v2/image19.jpg,"The image shows a bedroom setting with a four-poster bed, a dresser, and a desk. The room has a blue wall and yellow carpeting. The bed is made up with a white blanket and pillows, and there are various items on the dresser and desk, including books, decorative items, and a vase with flowers.",no fire,error,0.0
dataset_v2/image20.jpg,"The image shows an office or medical examination room with a desk, computer monitor, chair, and some medical supplies. The room has a clean and organized appearance.",no fire,error,0.0
